,SST Bayspar (°C) Low Mid LOESS,SST Bayspar (°C) High LOESS,SST Bayspar (°C) Gradient
29.400000000000002,29.010969238331924,20.016429090683683,8.994540147648241
29.6,28.961400595190618,19.57701813900124,9.384382456189378
29.8,28.88560568752328,19.291520934278424,9.594084753244857
30.0,28.981430422738804,19.383953186668492,9.597477236070311
30.200000000000003,28.981565497874904,19.476385439058557,9.505180058816347
30.400000000000002,28.77027911726485,20.280351753334244,8.489927363930605
30.6,28.53601676126867,19.981638189276158,8.554378571992512
30.8,28.317548038629177,20.070405044523227,8.24714299410595
31.0,28.239875605819343,19.90619306009016,
31.200000000000003,27.99696200406133,19.403730839499815,
31.400000000000002,28.059717722519316,18.402202443780066,
31.6,28.00632846738229,16.98387108595257,
31.8,27.766199114798248,16.11622083530463,11.649978279493617
32.0,27.697072015716614,17.14885859502921,10.548213420687404
32.2,27.6362328214222,16.528822931549975,11.107409889872226
32.4,27.8167278070635,15.198841475244022,12.617886331819479
32.6,28.075134206141723,15.042887386092577,13.032246820049146
32.800000000000004,27.81264077872902,14.661765009855332,13.150875768873687
33.0,27.5273962053003,14.302171853914928,13.225224351385371
33.2,27.909006977780457,15.94656480339183,11.962442174388627
33.4,28.317904649790997,17.925632933161616,10.39227171662938
33.6,27.97161944157684,18.83825360382003,9.133365837756813
33.800000000000004,27.140344473388822,19.006403930654074,8.133940542734749
34.0,27.571856413429103,18.466988750649158,9.104867662779945
34.2,27.87985950323381,21.540953890216066,6.338905613017744
34.4,27.703640046293934,21.16632021222629,6.537319834067645
34.6,28.114307337639943,20.386617358406703,7.72768997923324
34.800000000000004,28.90623455624406,20.961557490476025,7.944677065768033
35.0,29.113072997367365,21.716225156090417,7.396847841276948
35.2,29.625828212861848,21.929519484643425,7.696308728218423
35.4,29.817705243576512,22.003982474638025,7.8137227689384865
35.6,29.489214190682837,21.91176542813512,7.577448762547718
35.800000000000004,29.521967709112175,21.813453828318018,7.708513880794158
36.0,29.792851897878833,21.600668155681266,8.192183742197567
36.2,30.034305731539348,20.804613516531564,9.229692215007784
36.4,30.10135380105433,20.671336561219846,9.430017239834484
36.6,30.020347702159306,20.77146654730354,9.248881154855766
36.800000000000004,29.771604965281057,20.79725645135535,8.974348513925708
37.0,29.952777501280096,20.770053284752336,9.18272421652776
37.2,30.034242288065336,20.908237170934175,9.126005117131161
37.4,30.312799779922734,20.378434903989767,9.934364875932967
37.6,30.551433990681154,20.279529321209154,10.271904669472
37.800000000000004,30.386171224857698,20.115194765261545,10.270976459596152
38.0,30.28074834628579,20.013842366330547,10.266905979955244
38.2,30.480404211909374,20.39305176838761,10.087352443521763
38.400000000000006,30.811322318248244,20.34775318422597,10.463569134022276
38.6,31.048134000942,20.302415953999375,10.745718046942624
38.800000000000004,31.206986299968648,20.164971411581412,11.042014888387236
39.0,31.494298069971997,20.779713770349094,10.714584299622903
39.2,32.042673470115275,20.82802696499113,11.214646505124147
39.400000000000006,32.026395838305895,20.459217705168683,11.567178133137212
39.6,32.344510015070306,20.707920433866608,11.636589581203697
39.800000000000004,32.0687598649903,20.60425017655872,11.46450968843158
40.0,32.181622685628604,20.157001167780457,12.024621517848146
40.2,32.69117822599733,20.131402061654896,12.55977616434243
40.400000000000006,32.83988234568058,20.29300443319337,12.546877912487208
40.6,32.64221047060749,20.54321031438625,12.099000156221237
40.800000000000004,32.59033287257204,19.429569011616056,13.160763860955985
41.0,32.292561185638725,22.601889587941077,9.690671597697648
41.2,32.0800466496002,22.560187299446664,9.519859350153535
41.400000000000006,32.245174210978945,23.78696636798085,8.458207842998096
41.6,32.472125715426145,23.479793805368953,8.992331910057192
41.800000000000004,32.41643482544116,23.316276624824727,9.10015820061643
42.0,32.44271494860031,23.101313429757333,9.341401518842979
42.2,32.5822177150072,23.572671348494048,9.009546366513149
42.400000000000006,32.729740626772085,23.428243935174024,9.30149669159806
42.6,32.48832860465269,23.744932822977177,8.743395781675517
42.800000000000004,32.589965069302245,23.506314027305717,9.083651041996529
43.0,32.485298558878114,23.130679555880953,9.354619002997161
43.2,32.53498395661894,23.27141709509884,9.263566861520097
43.400000000000006,32.83185621846133,23.743021929241934,9.088834289219399
43.6,32.773765907161234,23.742460568597902,9.031305338563332
43.800000000000004,32.78238193748154,23.65477401773518,9.12760791974636
44.0,32.825046105950804,23.453865035422474,9.37118107052833
44.2,32.8871100622968,23.338239575036077,9.548870487260722
44.400000000000006,32.84812390749171,23.19639582780614,9.651728079685572
44.6,32.849123297790946,23.53448403658645,9.314639261204498
44.800000000000004,32.85088125075526,23.964563339931093,8.886317910824165
45.0,32.850635452337166,24.347883440698894,8.502752011638272
45.2,32.934745541815396,24.945817750844142,7.988927790971253
45.400000000000006,32.957961924605776,25.264033042944202,7.693928881661574
45.6,32.82877410115288,26.196802535127045,6.631971566025836
45.800000000000004,32.985765998568084,27.167475443725515,5.818290554842569
46.0,32.998108522406426,27.555958477525028,5.442150044881398
46.2,33.142116198324786,27.938004892953963,5.204111305370823
46.400000000000006,33.418232705750626,28.348957356098822,5.069275349651804
46.6,33.503590272983125,28.807484817747266,4.696105455235859
46.800000000000004,33.29142333424913,29.12933559566794,4.162087738581192
47.0,33.154065261164035,29.597920321996824,3.5561449391672113
47.2,33.39254550250357,30.483973827071107,2.9085716754324658
