Age (Ma),SST Bayspar (°C)
11.95,13.3746472211589
11.975,22.7158943015664
12.029,21.361260253249
12.0839285714285,14.447587184788
12.125,20.2997060302898
12.1455357142857,17.5017490476646
12.184,19.0397944964851
12.204,15.8813845357446
12.2178571428571,14.4515327039301
12.232,21.5243842403226
12.26,21.6796517700572
12.2848214285714,12.2556981328805
12.3044642857142,13.2442732877356
12.356,24.146777898774
12.485,21.1411187606531
12.518,18.8843673209004
12.551,21.1792509892613
12.584,20.6387738138534
12.609,20.3723735804449
12.634,22.3162211131239
12.6419642857142,12.4820353639296
12.667,23.3641446615521
12.7607142857142,10.736053282039
12.77,14.4794820749246
12.89,20.2843760000099
12.931,17.9679837395825
12.948,20.5824124771851
12.964,22.7734786115379
12.981,23.119063911998
12.99,14.516694887817
12.997,20.8843663512836
