,SST Bayspar (°C) Low Mid LOESS,SST Bayspar (°C) High LOESS,SST Bayspar (°C) Gradient
8.8,29.029006455657548,10.927150369416236,18.101856086241312
9.0,29.34811246806986,11.397074232130532,17.95103823593933
9.200000000000001,29.69758927289522,12.283563152731688,17.414026120163534
9.4,29.92822094816431,12.32737925842195,17.60084168974236
9.600000000000001,29.756952505119415,12.364875645380302,17.392076859739113
9.8,29.234012617400015,12.76389088845771,16.470121728942306
10.0,29.020206460330346,13.457430494745832,15.562775965584514
10.200000000000001,28.348129850758674,13.714270017774282,14.633859832984392
10.4,27.784532279970897,14.228423356403654,13.556108923567242
10.600000000000001,27.951435712570124,14.394028672147254,13.55740704042287
10.8,28.5728647175357,14.276667712164361,14.29619700537134
11.0,28.836805758339565,14.247026934925062,14.589778823414504
11.200000000000001,29.035557209746806,14.260458690390557,14.775098519356249
11.4,28.82855561222199,14.16367562925845,14.66487998296354
11.600000000000001,28.433632342326064,13.787631160071856,14.646001182254208
11.8,28.06829661339672,13.715576445720199,14.35272016767652
12.0,27.378310817161072,13.846215272325882,13.53209554483519
12.200000000000001,27.5597561186122,14.109858252330772,13.449897866281427
12.4,27.983304061768205,13.97218028129698,14.011123780471225
12.600000000000001,28.788392148846093,14.017748436086672,14.770643712759421
12.8,28.871712255025386,14.169371879012813,14.702340376012573
13.0,29.474232686926875,14.017334010761262,15.456898676165613
13.200000000000001,30.15378126000946,14.144918665081628,16.008862594927834
13.4,30.861988797276027,15.005519009316878,15.85646978795915
13.600000000000001,30.863802130383114,15.103602241882115,15.760199888500999
13.8,30.89579905410659,15.432100275346087,15.463698778760502
14.0,31.204532437655963,15.244527622032653,15.96000481562331
14.200000000000001,31.048970317446432,16.734712249521277,14.314258067925156
14.4,31.263645844554397,19.331406061192578,11.932239783361819
14.600000000000001,30.923238499250623,19.034366228321925,11.888872270928697
14.8,30.631951205582553,17.57816163911155,13.053789566471004
15.0,30.51972595443347,17.394859819173032,13.124866135260437
15.200000000000001,30.550418948499818,17.366415643034475,13.184003305465342
15.4,30.54537164062669,18.006014319822004,12.539357320804687
15.600000000000001,30.12352765775671,18.398775315392793,11.724752342363917
15.8,30.108562637801583,19.79803698062605,10.310525657175532
16.0,30.146561168890422,19.123472892924067,11.023088275966355
16.2,30.404026905852767,19.024002056116032,11.380024849736735
16.400000000000002,30.327081583222302,18.796131465252504,11.530950117969798
16.6,30.478799426422228,19.235727137998442,11.243072288423786
16.8,30.570084962082035,19.67532281074438,10.894762151337655
17.0,30.544726546752948,20.114918483490317,10.42980806326263
17.2,30.580063923602175,20.554514156236248,10.025549767365927
17.400000000000002,30.677165042904264,20.994109828982193,9.68305521392207
17.6,30.380564165734484,21.433705501728127,
17.8,30.132916782942935,21.873301174474065,
18.0,29.909151250430952,21.705286122196625,
18.2,29.44454531608492,22.044531348803215,
18.400000000000002,29.14867200323667,22.383776575409808,
18.6,29.324281521352777,22.723021802016397,
18.8,29.05247936656852,23.062267028622987,
19.0,28.33083441395896,18.160795210801503,
19.200000000000003,28.173438927758973,17.884147704408925,
19.400000000000002,28.40321132303874,17.695622003588998,
19.6,28.167548606085163,17.50709630276907,
19.8,27.998041052915077,17.69218634935077,
20.0,27.745827472389948,17.826989264550345,
20.200000000000003,27.604026527904338,20.209915529920604,
20.400000000000002,27.56944049863133,23.78524435484578,
20.6,27.055457769448694,23.116485529242333,
20.8,26.92438543312347,22.447726703638892,
21.0,27.02231600203458,21.778967878035456,
21.200000000000003,27.267612169113693,21.11020905243201,
21.400000000000002,26.86479044895121,20.441450226828543,
21.6,26.89152344728239,19.77269140122511,
21.8,27.38641517288706,19.103932575621663,
22.0,27.68134339761637,11.86097073204322,
22.200000000000003,28.038262167833075,12.495129929124536,
22.400000000000002,28.475770801354265,13.129289126205853,
22.6,29.161864943254365,13.763448323287168,15.398416619967197
22.8,28.95639742947692,14.397607520368483,14.558789909108436
