,average d15N,average d15N.1,Gradient
12.6,4.13061224489796,7.232857142857141,3.1022448979591815
12.9,2.8975000000000026,9.40142857142857,6.503928571428567
13.2,3.0350000000000015,9.7,6.664999999999997
13.5,2.89,8.012,5.122
13.799999999999999,3.354583333333332,5.191999999999996,1.8374166666666638
14.1,3.8191666666666664,4.883333333333342,1.0641666666666754
14.399999999999999,4.283749999999999,4.915999999999991,0.632249999999992
14.7,4.748333333333333,5.779310344827588,1.0309770114942554
15.0,5.445,5.29,-0.15500000000000025
15.299999999999999,4.991272727272727,5.544,0.5527272727272727
15.6,5.149454545454546,9.282727272727264,4.133272727272718
15.899999999999999,4.667272727272734,5.452857142857146,0.7855844155844123
16.2,3.6882758620689655,5.403076923076925,1.7148010610079591
16.5,3.886363636363636,5.056666666666669,1.1703030303030335
16.8,4.84,5.3725000000000005,0.5325000000000006
17.099999999999998,5.336999999999987,5.069473684210527,-0.2675263157894605
17.4,6.814999999999969,5.566,-1.2489999999999695
17.7,7.327999999999997,6.1194117647058786,-1.2085882352941182
18.0,8.033000000000001,6.603529411764709,-1.4294705882352918
18.3,7.637777777777752,6.215294117647057,-1.4224836601306956
18.599999999999998,7.940000000000001,7.468507462686557,-0.471492537313444
18.9,7.594444444444436,8.789402985074616,1.1949585406301804
19.2,8.18,12.238749999999943,4.058749999999943
19.5,7.802222222222226,12.691428571428576,4.88920634920635
19.8,8.413076923076927,11.330714285714285,2.9176373626373575
20.099999999999998,8.329999999999997,14.918260869565216,6.58826086956522
20.4,7.700000000000002,15.1196,7.419599999999998
20.7,7.039148936170212,13.99,6.950851063829788
21.0,6.518000000000004,14.340769230769228,7.822769230769223
21.3,7.800000000000008,14.032222222222224,6.232222222222216
21.599999999999998,8.201449275362318,13.144999999999996,4.943550724637678
21.9,8.257971014492753,13.655,5.397028985507246
22.2,8.294262295081966,13.656666666666666,5.3624043715847005
22.5,8.304098360655738,14.79,6.485901639344261
22.8,8.48,14.60859726027397,6.1285972602739704
23.099999999999998,9.299999999999988,14.435665753424658,5.13566575342467
23.4,9.463000000000001,14.262734246575343,4.799734246575342
23.7,9.442,14.089802739726027,4.647802739726027
24.0,9.446857142857143,13.916871232876712,4.4700140900195695
24.3,9.947199999999993,13.743939726027396,3.7967397260274023
24.599999999999998,11.168500000000016,13.571008219178083,2.402508219178067
24.9,9.863500000000007,13.398076712328768,3.534576712328761
25.2,9.611818181818185,13.225145205479452,3.6133270236612667
25.5,8.351612903225808,13.052213698630137,4.700600795404329
25.8,7.903488372093022,12.87928219178082,4.975793819687799
26.099999999999998,8.349999999999994,12.706350684931508,4.356350684931513
